run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_acceptance_protocol,L3,resolved,True,1.0,350381,5,14372,10318,4054,0,2240,14372,2287,0,0,0.00398,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_progress_with_cost_comparison,L3,resolved,True,1.0,267723,5,15074,10794,4280,0,2139,15074,0,0,0,0.004187,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_safety_incident_report,L3,failed,False,0.0,301357,5,11677,8552,3125,0,2127,11677,0,0,0,0.003158,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_structural_assessment,L3,resolved,True,1.0,501536,5,33607,25356,8251,0,2151,12415,2484,0,0,0.008754,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_environmental_compliance,L3,resolved,True,1.0,182196,5,19497,14750,4747,0,2180,19497,2163,0,0,0.005061,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_schedule_variance_analysis,L3,resolved,True,1.0,201430,5,16572,12272,4300,0,2189,16572,0,0,0,0.004421,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L3_warranty_claim_report,L3,build_failed,False,0.0,45000,0,0,0,0,0,0,0,0,0,0,0.0,ABL-STRONG-EVO-OFF,,,,False,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L4_fire_safety_audit,L4,failed,False,0.0,182446,5,13410,9740,3670,0,2278,13410,0,0,0,0.003663,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L4_energy_evaluation,L4,resolved,True,1.0,238935,5,14653,10758,3895,0,2192,14653,0,0,0,0.003951,ABL-STRONG-EVO-OFF,,,,True,False,0.0,0
7d3bec08-f324-4d98-9cee-1da2a6555a31,progressive_complexity,2,L4_procurement_documentation,L4,resolved,True,0.857,298337,5,18201,13108,5093,0,2264,18201,2833,0,0,0.005022,ABL-STRONG-EVO-OFF,"Bieter 1 DachProfi GmbH: 287.340 EUR brutto, alle Nachweise vollstaendig",,,True,False,0.0,0
