run_id,suite,seed,task_id,level,status,pass,score,duration_ms,agents_executed,tokens_total,tokens_input,tokens_output,tokens_thinking,tokens_assembly,tokens_execution,tokens_verification,tokens_adapt,tokens_self_healing,cost_usd,model_config_id,missing_keywords,missing_sections,error,cot_verification,self_reflection,reflection_correction,reflection_tokens
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_acceptance_protocol,L3,resolved,True,1.0,198039,5,14052,10058,3994,0,2281,14052,0,0,0,0.002603,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_progress_with_cost_comparison,L3,resolved,True,1.0,200075,5,15239,10789,4450,0,2265,15239,0,0,0,0.002859,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_safety_incident_report,L3,failed,False,0.0,272856,5,15733,11065,4668,0,2144,12118,0,0,0,0.002974,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_structural_assessment,L3,resolved,True,1.0,589903,5,14605,10678,3927,0,2165,14605,2683,0,0,0.002639,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_environmental_compliance,L3,resolved,True,1.0,203453,5,14841,10533,4308,0,2205,14841,0,0,0,0.002777,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_schedule_variance_analysis,L3,resolved,True,1.0,91335,5,27662,22053,5609,0,2165,27662,2562,0,0,0.004449,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L3_warranty_claim_report,L3,build_failed,False,0.0,35000,0,0,0,0,0,0,0,0,0,0,0.0,ABL-WEAK-EVO-OFF,,,,False,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_fire_safety_audit,L4,resolved,True,1.0,203293,5,15711,11118,4593,0,2257,15711,0,0,0,0.002949,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_energy_evaluation,L4,resolved,True,1.0,207102,5,14328,10414,3914,0,2233,14328,0,0,0,0.002607,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_procurement_documentation,L4,resolved,True,1.0,248428,5,23002,17870,5132,0,2263,23002,1248,0,0,0.00384,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_noise_protection_assessment,L4,resolved,True,1.0,471118,5,57739,43068,14671,0,2179,13835,2561,2125,0,0.010175,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_facade_inspection_report,L4,resolved,True,1.0,139699,5,22571,17234,5337,0,2221,22571,2574,0,0,0.003858,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_demolition_planning_report,L4,resolved,True,1.0,216684,5,27409,20466,6943,0,2311,27409,3557,0,0,0.004824,ABL-WEAK-EVO-OFF,,,,True,True,0.07,589
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L4_accessibility_audit,L4,resolved,True,1.0,205135,5,15950,11903,4047,0,2278,15950,0,0,0,0.002809,ABL-WEAK-EVO-OFF,,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_schema_discovery_report,L5,resolved,False,0.111,398780,5,41386,33145,8241,0,1973,27709,2538,1941,0,0.006611,ABL-WEAK-EVO-OFF,Projekt 'Neubau Wohnanlage Bergstraße 12' wird identifiziert;Projekt 'Sanierung Grundschule Am Park' wird identifiziert;Rohbau-Fortschritt wird korrekt mit ca. 85% angegeben;Verzögerung im Gewerk Elektro wird erkannt und benannt;Mindestens 3 offene kritische Mängel werden aufgelistet;Gesamtkosten werden als Summe berechnet und dem Budget gegenübergestellt;Mindestens ein konkreter Mangel mit Beschreibung wird genannt;Fortschritt von mindestens 4 Gewerken wird einzeln ausgewiesen,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_etl_quarterly_report,L5,resolved,False,0.6,221535,5,18072,13979,4093,0,2118,18072,5515,1507,0,0.003035,ABL-WEAK-EVO-OFF,"5 Subunternehmer werden korrekt identifiziert (Müller, Schmidt, Weber, Krause, Hoffmann);Gesamtstunden Rohbau Schmidt werden mit ca. 680h angegeben;Gesamtstunden Elektro Müller werden mit ca. 420h angegeben;Mindestens 3 der Top-5 Materialposten werden korrekt genannt",,,True,True,0.33,624
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_audio_tagesbericht_rohbau,L5,resolved,False,0.0,77989,5,9676,7375,2301,0,1927,9676,0,0,0,0.001658,ABL-WEAK-EVO-OFF,Datum 14. Oktober wird genannt;Baustelle Bergstrasse 12 oder Neubau Wohnanlage wird identifiziert;8 Arbeiter waren auf der Baustelle;Bewehrung oder Bewehrungsarbeiten an der Decke werden erwaehnt;Beton C30/37 oder 20 Kubikmeter Beton werden genannt;Ein Mangel am Aufzugsschacht wird erwaehnt (zu schmal oder Aussparung);Koordination mit Elektro Mueller oder Elektriker wird erwaehnt,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_audio_begehung_maengel,L5,resolved,False,0.0,439765,5,22097,17814,4283,0,1937,11733,2207,1934,0,0.003495,ABL-WEAK-EVO-OFF,Mehrere Maengel werden identifiziert (mindestens 3);Ein Problem mit einer Abwasserleitung oder Sanitaerinstallation wird erwaehnt;Ein Riss oder kosmetischer Mangel wird dokumentiert;Schweregrade oder Priorisierung der Maengel werden angegeben;Zustaendige Firmen oder Personen werden benannt;Eine Frist zur Maengelbeseitigung wird genannt,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_audio_bauleitungssitzung,L5,resolved,False,0.0,200831,5,8797,6994,1803,0,1993,8797,0,0,0,0.001421,ABL-WEAK-EVO-OFF,Mehrere Teilnehmer oder Gespraechspartner werden identifiziert;Terminverzug oder Verzoegerung wird thematisiert;Kosten oder Budget werden besprochen;Konkrete Beschluesse oder Massnahmen werden dokumentiert;Verantwortlichkeiten oder Zustaendigkeiten werden zugeordnet;Ein naechster Termin oder Folgetermin wird erwaehnt,,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_audio_telefonat_statiker,L5,resolved,False,0.25,287196,5,21017,16325,4692,0,1996,11861,2095,1989,0,0.003509,ABL-WEAK-EVO-OFF,"Es handelt sich um ein Telefonat oder Gespraech mit einem Statiker oder Ingenieur;Ein technisches Problem wird besprochen (Aufzugsschacht, Aussparung oder Masse);Eine Loesung oder technische Massnahme wird vereinbart",,,True,False,0.0,0
9abdb2df-b969-4032-9949-236c02ad488c,progressive_complexity,1,L5_audio_sicherheitsbericht,L5,resolved,False,0.143,202073,5,29417,23040,6377,0,2017,19298,3216,1943,0,0.004855,ABL-WEAK-EVO-OFF,"Ein Unfall oder Beinahe-Unfall oder Sicherheitsvorfall wird beschrieben;Eine Person oder ein Mitarbeiter ist betroffen;Ursache des Vorfalls wird benannt (Wetter, Eis, Rutschgefahr oder aehnlich);Sofortmassnahmen werden aufgelistet;Sicherheitsmaengel werden dokumentiert;Eine Meldung an eine Behoerde oder BG wird erwaehnt",,,True,False,0.0,0
